"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08"
"USW00014764","PORTLAND JETPORT, ME US","2021-04-26","14.32",,"0.00","0.0","0.0","46","51","36","  340","  310","23.9","33.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-27","6.93",,"0.00","0.0","0.0","49","68","33","  270","  300","17.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-28","3.36",,"0.15","0.0","0.0","51","58","43","  180","  190","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-29","4.92",,"0.47","0.0","0.0","48","51","45","   80","   80","12.1","14.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-04-30","8.28",,"0.64","0.0","0.0","49","55","45","  280","  280","18.1","28.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-01","11.63",,"0.02","0.0","0.0","49","57","43","  310","  310","23.0","33.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-02","11.41",,"0.00","0.0","0.0","55","69","47","  280","  270","30.0","38.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-03","3.36",,"0.00","0.0","0.0","53","55","47","  190","  190","10.1","13.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-04","5.37",,"0.02","0.0","0.0","50","55","46","   90","  120","13.0","17.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-05","6.71",,"0.50","0.0","0.0","47","49","45","   90","   90","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-06","9.62",,"0.00","0.0","0.0","52","62","42","  350","  340","23.0","31.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-07","5.14",,"0.00","0.0","0.0","49","58","35","  190","  170","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-08","6.71",,"0.00","0.0","0.0","46","54","37","  350","  340","16.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-09","7.83",,"0.00","0.0","0.0","53","65","42","  190","  170","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-10","6.26",,"0.04","0.0","0.0","54","63","47","  160","  170","16.1","21.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-11","9.40",,"0.01","0.0","0.0","54","63","43","  300","  300","29.1","36.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-12","9.84",,"0.00","0.0","0.0","52","64","39","  310","  320","29.1","38.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-13","7.38",,"0.00","0.0","0.0","56","69","40","  320","  300","19.9","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-14","6.26",,"0.00","0.0","0.0","59","75","44","   10","  310","21.0","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-15","5.59",,"0.00","0.0","0.0","60","72","46","  180","  190","17.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-16","4.47",,"0.00","0.0","0.0","60","74","46","  100","  100","19.9","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-17","5.14",,"0.00","0.0","0.0","57","66","44","   90","  170","13.0","15.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-18","6.71",,"0.00","0.0","0.0","61","78","46","  340","  320","17.0","25.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-19","6.93",,"0.00","0.0","0.0","66","77","53","   10","  350","16.1","25.1",,,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-05-20","6.04",,"0.00","0.0","0.0","57","65","48","  160","  150","15.0","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-21","4.92",,"0.01","0.0","0.0","58","69","52","  170","  170","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-22","2.91",,"0.00","0.0","0.0","64","77","57","  150","  160","8.9","11.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-23","10.51",,"0.00","0.0","0.0","70","84","52","  350","  340","32.0","40.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-24","9.62",,"0.00","0.0","0.0","56","62","43","  190","  210","21.0","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-25","10.51",,"0.00","0.0","0.0","58","69","49","  180","  190","23.0","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-26","10.07",,"0.15","0.0","0.0","71","88","63","  270","  270","31.1","44.1","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-27","11.41",,"0.00","0.0","0.0","70","76","52","  320","  330","21.0","28.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-28","7.83",,"0.03","0.0","0.0","53","58","46","  350","  340","15.0","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-29","9.84",,"0.57","0.0","0.0","47","50","43","   60","   50","21.0","27.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-30","10.51",,"0.76","0.0","0.0","49","53","47","   90","   50","19.9","25.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-05-31","7.83",,"0.16","0.0","0.0","52","59","48","  310","  360","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-01","7.61",,"0.00","0.0","0.0","61","77","46","  240","  240","19.9","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-02","7.38",,"0.00","0.0","0.0","65","79","47","  180","  200","17.0","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-03","8.05",,"0.03","0.0","0.0","63","69","58","  180","  180","19.9","27.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-04","5.82",,"0.05","0.0","0.0","68","78","59","  260","  290","12.1","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-05","7.61",,"0.00","0.0","0.0","71","86","56","  180","  190","18.1","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-06","6.04",,"0.00","0.0","0.0","79","87","68","  180","  190","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-07","6.49",,"0.00","0.0","0.0","80","94","64","  280","  210","18.1","25.9",,,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-06-08","8.72",,"0.02","0.0","0.0","82","92","72","  270","  270","15.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-09","6.26",,"0.01","0.0","0.0","78","87","61","  350","  330","18.1","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-10","6.93",,"0.00","0.0","0.0","66","70","56","   10","  350","15.0","19.9",,,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-06-11","3.80",,"0.00","0.0","0.0","58","61","54","  160","  180","12.1","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-12","5.14",,"0.00","0.0","0.0","61","70","52","  160","  170","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-13","8.50",,"0.00","0.0","0.0","68","84","51","  180","  170","19.9","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-14","7.61",,"0.32","0.0","0.0","63","70","57","  190","  190","19.9","25.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-15","3.13",,"0.05","0.0","0.0","62","69","56","  160","  150","12.1","14.1","    1","    1",,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-16","10.29",,"0.00","0.0","0.0","63","73","51","  330","  350","21.9","29.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-17","7.16",,"0.00","0.0","0.0","63","77","48","  270","  270","19.9","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-18","7.38",,"0.00","0.0","0.0","65","77","50","  190","  170","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-19","6.49",,"0.12","0.0","0.0","71","87","62","  250","  270","18.1","27.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-20","6.71",,"0.00","0.0","0.0","74","88","60","  180","  180","18.1","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-21","8.95",,"0.00","0.0","0.0","70","79","63","  190","  190","21.9","30.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-22","8.05",,"0.16","0.0","0.0","69","82","58","  290","  280","21.0","25.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-23","6.71",,"0.00","0.0","0.0","62","70","50","  310","  300","18.1","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-24","5.59",,"0.00","0.0","0.0","61","73","47","  190","  180","19.9","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-25","5.37",,"0.00","0.0","0.0","60","68","50","  170","  120","10.1","14.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-26","8.50",,"0.00","0.0","0.0","67","75","61","  170","  170","17.0","23.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-27","8.95",,"0.00","0.0","0.0","75","87","66","  240","  190","17.0","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-28","8.50",,"0.00","0.0","0.0","84","97","70","  240","  230","21.0","29.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-29","8.28",,"0.00","0.0","0.0","85","96","75","  290","  290","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-30","8.28",,"0.19","0.0","0.0","82","95","71","  250","  240","25.1","34.0","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-01","4.92",,"0.27","0.0","0.0","74","81","64","   50","   50","12.1","15.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-02","10.96",,"0.64","0.0","0.0","60","65","56","   80","   90","21.0","29.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-03","8.72",,"0.54","0.0","0.0","57","60","55","  360","   10","15.0","19.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-04","6.71",,"0.54","0.0","0.0","57","62","53","  360","   10","13.0","18.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-05","6.71",,"0.00","0.0","0.0","60","70","49","  180","  180","16.1","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-06","7.16",,"0.02","0.0","0.0","71","87","62","  290","  290","18.1","23.9","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-07","5.82",,"0.00","0.0","0.0","75","84","66","  360","   10","14.1","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-08","7.83",,"0.27","0.0","0.0","65","67","58","  260","  270","21.0","30.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-09","6.71",,"2.33","0.0","0.0","61","69","58","   10","   10","23.0","31.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-10","4.03",,"0.00","0.0","0.0","67","75","59","  150","  150","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-11","4.92",,"0.00","0.0","0.0","66","77","55","  190","  180","15.0","19.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-12","3.36",,"0.10","0.0","0.0","68","76","63","  170","  180","12.1","14.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-13","4.70",,"0.07","0.0","0.0","64","71","62","   90","   80","10.1","11.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-14","3.80",,"0.02","0.0","0.0","64","70","62","  160","  150","8.9","12.1","    1","    1","    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-15","4.03",,"0.00","0.0","0.0","69","80","64","   90","  150","12.1","17.0","    1","    1","    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-16","6.26",,"0.00","0.0","0.0","75","90","63","  300","  260","17.0","23.9","    1","    1",,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-17","3.80",,"0.00","0.0","0.0","73","77","67","  340","   10","12.1","15.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-18","6.04",,"1.17","0.0","0.0","66","68","62","   40","   30","14.1","18.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-19","4.25",,"0.00","0.0","0.0","67","73","64","  350","  350","10.1","12.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-20","2.68",,"0.88","0.0","0.0","71","83","62","   20","   10","23.9","34.0","    1",,"    1",,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-07-21","7.38",,"0.40","0.0","0.0","71","81","63","  320","  320","14.1","21.0","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-22","6.71",,"0.00","0.0","0.0","69","79","60","  340","  350","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-23","5.37",,"0.16","0.0","0.0","67","78","57","  360","   10","21.9","27.1","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-24","4.92",,"0.00","0.0","0.0","65","76","55","  150","  150","13.0","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-25","5.82",,"0.20","0.0","0.0","65","72","59","  190","  200","16.1","25.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-26","4.03",,"0.00","0.0","0.0","70","80","61","  270","  260","13.0","16.1","    1","    1",,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-07-27","5.82",,"0.18","0.0","0.0","73","84","63","   10","   10","14.1","18.1","    1",,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-07-28","5.37",,"0.01","0.0","0.0","67","74","57","   30","   30","15.0","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-29","7.83",,"1.52","0.0","0.0","62","73","52","  140","  140","25.1","32.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-30","9.62",,"0.12","0.0","0.0","67","76","55","  320","  320","23.9","31.1","    1",,"    1",,,
"USW00014764","PORTLAND JETPORT, ME US","2021-07-31","5.82",,"0.00","0.0","0.0","63","76","51","  280","  280","15.0","19.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-01","5.82",,"0.00","0.0","0.0","64","73","56","  170","  160","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-02","7.61",,"0.00","0.0","0.0","68","77","58","  320","  320","21.9","29.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-03","6.04",,"0.00","0.0","0.0","66","77","53","  180","  190","15.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-04","4.03",,"0.00","0.0","0.0","67","77","58","  160","  150","13.0","15.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-05","6.26",,"0.56","0.0","0.0","65","69","62","  330","   50","13.0","17.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-06","4.92",,"0.00","0.0","0.0","71","83","61","  180","  180","14.1","18.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-07","4.70",,"0.00","0.0","0.0","73","84","62","  190","  190","13.0","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-08","5.14",,"0.00","0.0","0.0","75","82","65","  160","  150","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-09","7.61",,"0.00","0.0","0.0","65","66","62","   90","  100","15.0","18.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-10","3.80",,"0.00","0.0","0.0","65","73","62","  150","  160","12.1","15.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-11","4.25",,"0.00","0.0","0.0","71","81","66","  180","  180","13.0","17.0","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-12","3.80",,"0.00","0.0","0.0","77","89","67","  160","  170","12.1","17.0","    1",,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-08-13","4.70",,"0.00","0.0","0.0","80","88","72","  150","  140","14.1","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-14","4.92",,"0.00","0.0","0.0","78","90","65","  290","  290","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-15","6.26",,"0.00","0.0","0.0","70","78","58","  350","  340","18.1","23.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-16","4.47",,"0.00","0.0","0.0","66","77","53","  190","  150","13.0","17.0",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-17","3.58",,"0.00","0.0","0.0","67","78","56","  150","  140","13.0","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-18","6.26",,"0.00","0.0","0.0","73","81","70","  150","  190","16.1","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-19","5.14"," 1511","0.95",,,"74","80","69","   90","   90","14.1","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-08-20",,,,,,"69",,,,,,,,,,,,
